replica,escenario,etapa,mediana,p95,red_total,demora_semaforos_total_s
11,vista_hermosa,OSRM,861.5,1199.3,3529902.5,844860.5288055082
11,vista_hermosa,OSRM / velocidad,785.2330194060719,1397.393629927951,3588556.020450975,844860.5288055082
11,vista_hermosa,BPR / velocidad,790.1899932867656,1402.5889785828654,3604673.2449954227,844860.5288055082
11,vista_hermosa,BPR / velocidad + semáforos,997.1744427592962,1728.8437401381282,4449533.773800931,844860.5288055082
11,reforma,OSRM,587.4,879.1,2627402.9,484316.9052202821
11,reforma,OSRM / velocidad,549.0818343998064,986.3827010108231,2671023.518286991,484316.9052202821
11,reforma,BPR / velocidad,549.2520509443261,986.8578762045246,2671714.7172765196,484316.9052202821
11,reforma,BPR / velocidad + semáforos,634.8607028815362,1220.618897421273,3156031.6224968014,484316.9052202821
12,base,OSRM,590.4,861.1149999999998,2722458.9,531754.2195470465
12,base,OSRM / velocidad,552.0038685053145,979.132752182581,2757351.7860596776,531754.2195470465
12,base,BPR / velocidad,552.0434482700291,979.3585044660317,2758130.5829789178,531754.2195470465
12,base,BPR / velocidad + semáforos,652.811723746789,1193.9333266485971,3289884.8025259636,531754.2195470465
12,vista_hermosa,OSRM,866.7,1199.3,3695864.0,883920.2090464842
12,vista_hermosa,OSRM / velocidad,785.9461301573692,1402.172731456088,3743360.0509995683,883920.2090464842
12,vista_hermosa,BPR / velocidad,791.0341459786732,1409.2550775737525,3762432.318455614,883920.2090464842
12,vista_hermosa,BPR / velocidad + semáforos,1005.9652578282421,1751.9102734747846,4646352.527502099,883920.2090464842
12,reforma,OSRM,590.4,868.4,2743908.2,509806.95921266556
12,reforma,OSRM / velocidad,557.5215182859251,991.6030687289061,2779017.881884984,509806.95921266556
12,reforma,BPR / velocidad,557.6263117683237,991.9123976401052,2780034.208957568,509806.95921266556
12,reforma,BPR / velocidad + semáforos,647.7403348704037,1221.1912941272906,3289841.1681702337,509806.95921266556
13,base,OSRM,592.4,868.1,2629224.6999999997,509168.35916210595
13,base,OSRM / velocidad,549.3377438107667,1000.4007503975881,2693918.47467011,509168.35916210595
13,base,BPR / velocidad,549.3526970092112,1000.441557410876,2694491.0225219033,509168.35916210595
13,base,BPR / velocidad + semáforos,652.9614875143054,1210.664919268611,3203659.381684009,509168.35916210595
13,vista_hermosa,OSRM,865.6,1184.5,3547663.9000000004,862548.6992616215
13,vista_hermosa,OSRM / velocidad,789.3054821628951,1400.5419204268856,3632821.400455066,862548.6992616215
