replica,escenario,fuente,metodo,demanda,vehiculos,comparables,p_sin_ruta,p_sin_ruta_base,aceptacion_nh,vc_max,mediana_base,mediana_escenario,p95_base,p95_escenario,red_total_base,red_total_escenario,libre_mediana_base,libre_mediana_escenario,libre_p95_base,libre_p95_escenario,libre_red_total_base,libre_red_total_escenario
23,base,lcg,polar,1.0,4921,4921,0.0,0.0,0.7322916666666667,0.7116816156698559,658.2535597504981,658.2535597504981,1214.4229454117324,1214.4229454117324,3155884.897616579,3155884.897616579,590.4,590.4,861.2,861.2,2595928.0,2595928.0
23,vista_hermosa,lcg,polar,1.0,4921,4921,0.0,0.0,0.7322916666666667,1.7685129505752166,658.2535597504981,1018.3589620594856,1214.4229454117324,1792.081136231272,3155884.897616579,4509644.442005718,590.4,879.0,861.2,1215.4,2595928.0,3567037.9
23,reforma,lcg,polar,1.0,4921,4921,0.0,0.0,0.7322916666666667,0.7116816156698559,658.2535597504981,655.2605106605713,1214.4229454117324,1234.5956495386495,3155884.897616579,3148082.3063925295,590.4,590.4,861.2,862.4,2595928.0,2616589.5
24,base,lcg,polar,1.0,5135,5135,0.0,0.0,0.746474778310801,0.7451568697390476,652.9220748164767,652.9220748164767,1203.0606887188658,1203.0606887188658,3262325.9333632137,3262325.9333632137,592.4,592.4,868.1,868.1,2686659.1,2686659.1
24,vista_hermosa,lcg,polar,1.0,5135,5135,0.0,0.0,0.746474778310801,1.573005454013473,652.9220748164767,1016.5012385842012,1203.0606887188658,1772.9044726965212,3262325.9333632137,4621568.9333889065,592.4,866.7,868.1,1200.6,2686659.1,3645279.0
24,reforma,lcg,polar,1.0,5135,5135,0.0,0.0,0.746474778310801,0.7663006075704412,652.9220748164767,646.9035032509242,1203.0606887188658,1246.6390707654289,3262325.9333632137,3268925.70907626,592.4,592.4,868.1,879.1,2686659.1,2707694.3
25,base,lcg,polar,1.0,5045,5045,0.0,0.0,0.7359591539022611,0.6997073270314065,662.6015430800763,662.6015430800763,1196.5044136004242,1196.5044136004242,3216498.65260439,3216498.65260439,597.1,597.1,862.4,862.4,2647269.1999999997,2647269.1999999997
25,vista_hermosa,lcg,polar,1.0,5045,5045,0.0,0.0,0.7359591539022611,1.4748413357859067,662.6015430800763,1028.4431972414095,1196.5044136004242,1758.66604203121,3216498.65260439,4583829.965941487,597.1,879.6,862.4,1199.3,2647269.1999999997,3612229.1
25,reforma,lcg,polar,1.0,5045,5045,0.0,0.0,0.7359591539022611,0.6997073270314065,662.6015430800763,657.9075809462722,1196.5044136004242,1217.5390102028957,3216498.65260439,3218619.5493519097,597.1,597.1,862.4,869.5,2647269.1999999997,2668834.5
26,base,lcg,polar,1.0,5143,5143,0.0,0.0,0.7401064901424665,0.6065115278392169,652.8219593420256,652.8219593420256,1204.625996485007,1204.625996485007,3291211.960208142,3291211.960208142,590.4,590.4,862.4,862.4,2709785.4000000004,2709785.4000000004
26,vista_hermosa,lcg,polar,1.0,5143,5143,0.0,0.0,0.7401064901424665,1.550659163947104,652.8219593420256,1019.8128379874706,1204.625996485007,1750.0536222687572,3291211.960208142,4658143.757461451,590.4,870.1,862.4,1193.4,2709785.4000000004,3676979.7
26,reforma,lcg,polar,1.0,5143,5143,0.0,0.0,0.7401064901424665,0.7273976453501994,652.8219593420256,648.071603065394,1204.625996485007,1232.2540701542334,3291211.960208142,3292741.628849357,590.4,590.4,862.4,869.5,2709785.4000000004,2731413.8
27,base,lcg,polar,1.0,4947,4947,0.0,0.0,0.7362702783152255,0.6274690658907311,650.3810710050352,650.3810710050352,1199.0248909914558,1199.0248909914558,3132287.4985980634,3132287.4985980634,590.4,590.4,862.4,862.4,2599401.3,2599401.3
27,vista_hermosa,lcg,polar,1.0,4947,4947,0.0,0.0,0.7362702783152255,1.5615720933539785,650.3810710050352,1011.9567898345429,1199.0248909914558,1767.3223288307543,3132287.4985980634,4471441.09990876,590.4,879.6,862.4,1201.9999999999995,2599401.3,3558833.6
