replica,escenario,origen,destino,base,cerrado
9,reforma,z10,z10,315.6802616623769,312.89926148492196
9,reforma,z10,z15,768.2375858540271,755.7382688860084
9,reforma,z10,z16,835.9341549849063,832.170430389966
9,reforma,z15,z10,870.8927859630988,855.8352849861031
9,reforma,z15,z15,258.9243620027962,258.92443723202075
9,reforma,z15,z16,250.6196058460996,250.6196058460996
9,reforma,z16,z10,952.4838271401701,928.1248519007329
9,reforma,z16,z15,299.0170292221768,299.0170292221768
9,reforma,z16,z16,298.0440364975933,298.04402971281985
10,base,z10,z10,288.2222413488349,288.2222413488349
10,base,z10,z15,790.1413629882744,790.1413629882744
10,base,z10,z16,841.765978365141,841.765978365141
10,base,z15,z10,876.8585048285601,876.8585048285601
10,base,z15,z15,253.77371952208958,253.77371952208958
10,base,z15,z16,235.95292080019092,235.95292080019092
10,base,z16,z10,969.8610827148849,969.8610827148849
10,base,z16,z15,297.7652017328195,297.7652017328195
10,base,z16,z16,312.5554448285248,312.5554448285248
10,vista_hermosa,z10,z10,288.2222413488349,288.2222639268514
10,vista_hermosa,z10,z15,790.1413629882744,1395.9934620273882
10,vista_hermosa,z10,z16,841.765978365141,1313.8725654126774
10,vista_hermosa,z15,z10,876.8585048285601,1213.3220345551254
10,vista_hermosa,z15,z15,253.77371952208958,254.19670213492356
10,vista_hermosa,z15,z16,235.95292080019092,236.0648775405293
10,vista_hermosa,z16,z10,969.8610827148849,1232.1326124106563
10,vista_hermosa,z16,z15,297.7652017328195,302.77276152849265
10,vista_hermosa,z16,z16,312.5554448285248,314.7378497312153
10,reforma,z10,z10,288.2222413488349,290.00853741531387
10,reforma,z10,z15,790.1413629882744,766.6213632292908
10,reforma,z10,z16,841.765978365141,826.60591743744
10,reforma,z15,z10,876.8585048285601,866.2391725676914
10,reforma,z15,z15,253.77371952208958,253.77371952208958
10,reforma,z15,z16,235.95292080019092,235.95292080019092
10,reforma,z16,z10,969.8610827148849,952.0218412443442
10,reforma,z16,z15,297.7652017328195,297.7652017328195
10,reforma,z16,z16,312.5554448285248,312.5554443946687
11,base,z10,z10,292.4252874333022,292.4252874333022
11,base,z10,z15,797.4737657211887,797.4737657211887
11,base,z10,z16,844.6195138733569,844.6195138733569
11,base,z15,z10,872.3213416279054,872.3213416279054
11,base,z15,z15,262.67306684749667,262.67306684749667
11,base,z15,z16,252.62670769168471,252.62670769168471
11,base,z16,z10,963.4368140497747,963.4368140497747
11,base,z16,z15,296.0851963331245,296.0851963331245
